Class,Head,Neck_Label,PER,LOC,OBJ,TEM,NUM,WHAT,WHO,WHOM,WHOSE,WHY,WHERE,WHEN,WHICH,HOW,Root_POS
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,0,3,1,2,3,2,4,3,4,3,VBD
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,0,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
LOC,Where,ROOT,1,0,0,0,0,3,3,3,2,3,0,2,3,4,VBZ
LOC,What,np,0,1,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
NUM,What,ROOT,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
LOC,Where,ROOT,0,0,1,0,0,4,4,4,3,4,1,3,4,5,VBP
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
NUM,What,ROOT,0,1,0,0,0,2,2,2,2,2,3,2,3,3,VBZ
NUM,When,aux,1,0,0,0,0,3,3,3,4,3,3,2,3,4,VBN
NUM,How,acomp,1,0,0,0,0,3,3,3,4,3,4,3,3,1,VBD
LOC,Where,ROOT,0,1,0,0,0,3,3,3,3,3,2,3,3,4,VBZ
NUM,How,advmod,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBZ
NUM,How,np,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
NUM,How,amod,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VBP
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,2,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,How,advmod,1,0,0,0,0,3,2,2,3,3,4,3,4,0,NN
DESC,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBP
NUM,How,amod,0,0,0,0,0,3,2,2,2,3,4,3,4,1,NNS
HUM,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBP
HUM,Who,nc,0,0,0,0,0,2,0,1,2,1,3,2,3,2,NNS
HUM,Which,poss,0,0,0,0,0,3,3,3,3,3,3,3,1,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
DESC,What,auxpass,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBN
DESC,What,aux,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBP
NUM,When,aux,1,0,0,0,0,3,3,3,4,3,3,1,4,3,VB
LOC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,4,4,4,3,4,1,3,4,4,VBZ
NUM,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
LOC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBD
LOC,What,np,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
ENTY,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
LOC,What,np,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VB
HUM,Who,ROOT,1,0,0,0,0,2,1,2,3,1,3,2,3,3,VBD
ENTY,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,NN
NUM,What,np,1,0,0,1,0,2,3,3,4,2,4,3,4,3,VB
LOC,What,amod,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
NUM,How,np,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBD
LOC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,What,np,1,0,1,0,0,0,2,2,3,2,3,2,3,3,VBD
LOC,Where,ROOT,0,1,0,0,0,3,3,3,3,3,2,2,3,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBN
NUM,How,acomp,0,1,0,0,0,3,3,3,4,3,4,3,4,1,VBZ
NUM,How,advmod,0,0,0,0,0,3,3,3,4,3,4,3,4,1,NN
HUM,Who,ROOT,0,1,0,0,1,3,1,2,3,2,4,3,4,2,VBD
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
NUM,When,ROOT,0,0,0,0,1,2,2,2,3,2,2,0,3,3,VBD
HUM,Who,auxpass,0,1,0,1,0,3,1,2,3,2,4,3,4,3,VBN
NUM,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,When,ROOT,1,0,0,0,0,4,4,4,5,4,4,2,5,4,VBD
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,1,3,2,3,4,2,4,3,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
LOC,What,np,1,0,0,0,0,2,4,4,5,4,5,4,5,4,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
NUM,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
HUM,What,ROOT,0,1,0,0,0,2,2,2,3,2,3,2,2,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,4,4,4,3,4,2,3,4,5,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
ENTY,What,ROOT,0,0,0,0,0,2,2,2,2,1,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
HUM,Who,ROOT,0,0,0,0,0,3,2,3,4,2,4,3,3,3,VBD
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
HUM,Who,ROOT,1,0,0,0,0,3,1,2,3,2,4,3,4,2,VBZ
LOC,What,np,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
ENTY,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,When,ROOT,1,0,0,0,0,3,3,3,4,3,3,1,4,3,VBD
LOC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
NUM,What,ROOT,0,1,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
HUM,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,1,0,0,1,0,3,1,2,3,2,4,3,4,2,VBD
NUM,When,ROOT,1,0,0,0,0,2,2,1,3,2,2,1,3,3,VBD
ENTY,What,np,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,0,1,1,1,0,1,2,2,3,2,3,2,3,3,VBD
LOC,Where,ROOT,1,0,0,0,0,4,4,4,3,4,1,3,4,5,VBZ
NUM,What,np,0,0,1,0,0,1,2,2,3,2,2,2,3,3,VB
NUM,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,0,3,1,2,3,2,4,3,4,2,VBD
NUM,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Which,np,0,0,0,0,0,4,4,4,4,4,4,4,1,4,VBD
NUM,How,advmod,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBZ
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,How,advmod,0,0,0,0,0,3,2,2,3,3,4,3,4,1,VBZ
HUM,Who,ROOT,0,1,0,1,0,2,1,2,3,1,3,2,3,3,VBD
DESC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,NN
ENTY,What,ROOT,0,0,0,0,1,1,2,2,3,2,3,2,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,Where,ROOT,0,0,0,0,0,3,3,3,2,3,0,2,3,4,VBZ
HUM,Who,ROOT,0,0,1,0,0,3,1,2,3,2,4,3,4,3,VBD
HUM,What,np,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
ENTY,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,3,3,3,2,3,1,2,3,4,VBP
ENTY,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
HUM,Who,ROOT,1,0,0,0,0,2,1,2,3,1,3,2,3,3,VBZ
ENTY,What,ROOT,1,0,0,0,1,1,2,2,3,2,3,2,3,3,VBD
DESC,What,aux,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VB
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,1,1,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,0,0,0,0,2,1,2,3,1,3,2,3,3,VBN
DESC,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBP
NUM,When,auxpass,0,1,0,0,0,2,2,2,3,2,2,0,3,3,VBN
HUM,What,np,0,0,0,0,1,0,2,2,3,2,3,2,3,3,VBD
LOC,What,np,0,1,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
LOC,What,ROOT,0,1,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,0,0,0,1,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
NUM,When,ROOT,0,1,0,0,0,2,2,2,3,2,2,1,3,3,VBZ
LOC,Where,ROOT,1,0,0,0,0,3,3,3,3,3,1,2,3,4,VBZ
ENTY,What,ROOT,0,1,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
LOC,What,np,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
NUM,When,ROOT,1,0,0,0,0,2,2,2,3,2,2,0,3,3,VBD
DESC,What,auxpass,0,0,0,0,0,0,2,2,3,2,3,2,3,3,RB
LOC,What,np,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,0,2,0,1,2,1,3,2,3,2,VBN
NUM,What,np,0,1,0,0,0,2,3,3,4,3,3,3,4,4,VBP
NUM,How,advmod,0,0,0,0,0,3,3,3,3,3,4,3,3,2,VBN
NUM,When,ROOT,0,0,0,0,0,2,2,2,3,2,2,0,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
LOC,Where,ROOT,0,1,0,0,0,3,3,3,2,3,0,2,3,4,VBZ
LOC,What,np,0,1,0,0,0,1,2,2,3,2,3,2,2,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,5,5,5,4,5,2,4,5,5,VBZ
NUM,When,ROOT,0,0,0,0,1,3,3,3,4,3,3,1,4,4,VBD
ENTY,What,np,0,0,0,0,0,1,2,2,3,2,2,2,3,3,VB
NUM,How,advmod,0,0,0,0,0,3,2,2,3,3,4,3,4,1,VBZ
LOC,What,np,0,1,0,0,0,2,3,3,4,3,4,3,4,3,VBP
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,3,3,3,3,3,1,2,3,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
HUM,Who,ROOT,0,1,0,0,0,2,1,2,3,1,3,2,3,3,VBZ
HUM,What,np,1,1,0,0,0,1,3,3,4,3,4,3,4,4,VBN
DESC,What,ROOT,0,0,0,0,0,2,3,3,3,3,4,3,4,4,VBZ
LOC,Where,aux,1,0,0,0,0,3,3,3,2,3,0,2,3,4,VB
ENTY,What,ROOT,0,0,0,1,0,1,3,3,4,3,4,3,4,3,VBZ
ENTY,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,When,auxpass,0,1,0,0,1,2,2,2,3,2,2,0,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
LOC,What,np,0,0,0,1,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBN
HUM,Who,ROOT,0,0,0,0,0,2,1,2,3,1,3,2,2,3,VBD
ENTY,What,ROOT,0,0,0,1,0,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,1,0,1,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VBN
HUM,Who,ROOT,0,0,0,0,0,3,2,3,4,2,4,3,4,3,VBD
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
NUM,What,ROOT,0,0,0,0,0,2,3,3,3,3,4,3,4,3,VBZ
LOC,Where,ROOT,0,1,0,0,0,4,4,4,3,4,1,3,4,4,VBZ
HUM,Who,ROOT,0,1,0,1,0,4,2,3,4,3,4,4,5,3,VBD
NUM,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
NUM,What,np,0,1,0,0,0,2,3,3,4,3,4,3,4,4,VBP
NUM,How,advmod,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBZ
LOC,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,1,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBP
NUM,How,amod,0,0,0,0,0,3,3,3,4,3,4,3,4,2,NNS
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,np,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VBD
DESC,What,aux,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
ENTY,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,Which,np,0,1,0,0,0,3,3,3,3,3,3,3,0,4,VBZ
ENTY,What,auxpass,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBN
NUM,What,ROOT,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VB
LOC,Where,ROOT,0,0,0,0,0,3,4,4,3,4,2,3,4,4,VBZ
HUM,Who,ROOT,0,0,0,0,0,2,1,2,3,1,3,2,2,3,VBD
NUM,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
HUM,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
NUM,How,np,0,0,0,0,1,3,2,2,3,3,4,3,4,0,VBP
ENTY,What,ROOT,0,1,0,0,1,1,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,2,3,VBZ
NUM,How,advmod,0,0,0,0,0,3,3,3,4,3,5,4,5,2,VBZ
LOC,What,np,1,0,0,0,0,2,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,ROOT,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VB
ENTY,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,3,4,VBZ
HUM,Who,ROOT,0,0,0,0,0,2,1,2,3,1,3,2,3,3,VBZ
LOC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBP
ENTY,What,ROOT,1,0,0,1,0,1,3,3,4,3,4,3,4,4,VBD
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,np,0,0,0,0,0,1,2,2,3,2,2,2,3,3,VBN
NUM,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,2,3,VBZ
ENTY,What,ROOT,1,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,1,1,0,0,1,2,0,1,2,1,3,2,3,2,VBD
HUM,Who,ROOT,0,1,0,0,1,3,1,2,3,2,4,3,4,2,VBD
NUM,How,np,0,1,0,0,0,3,3,3,4,3,4,3,4,1,VBP
ENTY,What,np,1,0,0,0,0,1,3,3,4,3,4,3,4,3,NN
NUM,How,acomp,1,0,0,0,0,3,2,2,3,3,4,3,4,0,VBD
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,1,0,0,0,0,3,3,3,4,3,4,3,4,2,VB
ENTY,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,1,2,0,1,2,1,3,2,3,2,VBD
DESC,What,auxpass,0,0,0,0,0,0,2,2,3,2,3,2,3,3,JJ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,3,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
NUM,What,np,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VB
ABBR,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,Where,ROOT,0,0,0,0,0,3,3,3,3,3,2,2,3,4,VBZ
HUM,What,ROOT,1,0,0,0,0,1,3,3,4,3,4,3,4,4,VBD
ABBR,What,aux,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
LOC,Where,auxpass,1,0,0,0,0,4,4,4,4,4,2,3,4,5,VBN
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,3,4,VBP
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
LOC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
NUM,How,acomp,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
ABBR,What,aux,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
NUM,What,np,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,dep,1,0,0,0,0,2,3,3,4,2,4,3,4,3,NN
NUM,When,auxpass,0,1,0,0,0,2,2,2,3,2,2,0,3,3,VBD
LOC,Where,ROOT,0,1,0,0,0,3,3,3,2,3,1,3,3,4,VBZ
HUM,Who,ROOT,0,0,1,0,1,3,1,2,3,2,4,3,4,2,VBD
LOC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
HUM,Who,ROOT,0,1,0,0,0,3,2,3,4,2,4,3,3,3,VBZ
NUM,What,np,1,1,0,0,0,2,3,3,4,3,4,3,4,4,VB
LOC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
LOC,Where,ROOT,0,0,0,0,0,4,4,4,3,4,2,4,4,4,VBZ
NUM,How,np,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
LOC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
HUM,Who,ROOT,0,1,0,0,1,2,0,1,2,1,3,2,3,2,VBD
LOC,Where,ROOT,0,1,0,0,0,3,3,3,2,3,1,3,3,4,VBZ
ENTY,What,ROOT,0,0,0,0,1,2,3,3,3,3,4,3,4,3,VBP
LOC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,When,auxpass,1,0,0,0,0,2,2,2,3,2,2,1,3,3,VBD
ABBR,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
NUM,What,np,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBD
ABBR,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBZ
NUM,What,ROOT,0,0,0,0,1,0,2,2,3,2,3,2,3,3,VBZ
NUM,When,ROOT,1,0,0,0,0,2,2,2,3,2,2,0,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
